FID,Station,Year,x,y,Open.Water,Developed.Open,Developed.Low,Developed.Mid,Developed.High,Barren,Deciduous,Coniferous,Mixed,Scrub,Grassland,Pasture,Cultivated.Crops,Woody.Wetlands,Herbaceus.Wetlands,road_density,camera,random,forest_edgedensity,stream_density,snow_depth
13,14,2013,234556,4664434,0.000116877,0.036115007,0.003623188,0,0,0,0.799789621,0.015544647,0.127863488,0.002454418,0.001402525,0.012856475,0,0.000233754,0,1.216149966,Reconyx,0.319259271,30.77762194,0.615178466,150.1411111
14,15,2013,459204,4663088,0.000118147,0.049031191,0.002599244,0.000827032,0,0,0.554111531,0.005316635,0.199314745,0.008152174,0.004371456,0.147329868,0,0.025401701,0.003426276,1.257276694,Reconyx,0.721477675,66.32010082,0.734446734,90.50333333
15,16,2013,463436,4664539,0.000590737,0.047731569,0.001772212,0.000236295,0,0.000590737,0.527528355,0.013350662,0.122637051,0.012996219,0.001535917,0.265831758,0,0.004135161,0.001063327,1.228468554,Reconyx,0.980698131,70.29773157,0.742067865,96.29111111
16,17,2013,222354,4668171,0.000935016,0.053529687,0.007363254,0.002337541,0.000116877,0,0.379149135,0.067087424,0.209677419,0.003856942,0.002805049,0.240065451,0.021856007,0.008765778,0.002454418,1.483970046,Reconyx,0.86870691,74.25588281,0.614327013,148.9305556
17,18,2013,227200,4666404,0.002103787,0.032141187,0.001636279,0.000233754,0,0.000350631,0.729079009,0.022791024,0.134057971,0.009467041,0.00911641,0.051659654,0,0.003506311,0.003856942,1.44711285,Reconyx,0.44781885,46.51706405,0.628217603,155.5644444
18,19,2013,308730,4667375,0.013114367,0.062381853,0.013586957,0.00460775,0.00047259,0.000118147,0.350425331,0.080694707,0.272920605,0.002717391,0.001890359,0.117202268,0.063799622,0.004844045,0.011224008,1.40105428,Misc,0.296951326,57.06521739,0.459244502,61.07037037
19,25,2013,223608,4671708,0.000350631,0.081229547,0.00631136,0.000350631,0.000116877,0,0.34770921,0.085320243,0.316503039,0.002103787,0,0.138031791,0.014259,0.001285647,0.006428237,1.566521704,Reconyx,0.833027728,74.87922705,0.576161589,144.5486111
20,26,2013,227678,4671789,0.000701262,0.098410472,0.008064516,0.000584385,0,0,0.579242637,0.026414212,0.182211314,0.004675082,0.000233754,0.094670407,0,0.004558205,0.000233754,1.582238376,Reconyx,0.7202759,93.8133084,0.575079153,142.775
21,27,2013,247011,4672344,0.000118147,0.048322306,0.003898866,0.000354442,0,0,0.491965974,0.097117202,0.189508507,0.00555293,0.000354442,0.162807183,0,0,0,1.431501457,Reconyx,0.861584563,47.45589162,0.514019221,116.5533333
22,28,2013,249286,4671213,0,0.041115312,0.002835539,0.000590737,0,0,0.569825142,0.095344991,0.252717391,0.002126654,0.000236295,0.03520794,0,0,0,1.401088357,Reconyx,0.431741144,35.64114682,0.516059118,103.0044444
23,29,2013,308935,4671569,0.007947639,0.048620851,0.007713885,0.005726975,0.000350631,0.001402525,0.262388967,0.083333333,0.270102852,0.004441328,0.003272557,0.236676017,0.057503506,0.007830762,0.002688172,1.469242845,Misc,0.643554566,57.97101449,0.458742032,68.08024691
24,30,2013,305008,4671460,0.02173913,0.052693762,0.011460302,0.002126654,0.004017013,0,0.28331758,0.081285444,0.213019849,0.016304348,0.003071834,0.229087902,0.064981096,0.004253308,0.012641777,1.340349992,Misc,0.590606562,78.84373031,0.430174415,69.46777778
25,32,2013,469264,4669658,0.000118147,0.064744802,0.014059546,0.005198488,0.00047259,0,0.545604915,0.051157845,0.164106805,0.009097353,0.005316635,0.127244802,0,0.01205104,0.000827032,1.280951466,Misc,0.447324844,50.6852552,0.744986852,109.0266667
26,33,2013,473368,4671309,0.008270321,0.046786389,0.005198488,0.000354442,0,0,0.509097353,0.076677694,0.284853497,0.020557656,0.000118147,0.024456522,0,0.021620983,0.002008507,1.285583357,Misc,0.870031601,52.37870195,0.748367676,118.7407407
27,34,2013,474007,4670880,0.008181393,0.043361384,0.005843852,0.000350631,0.000116877,0,0.552477793,0.082398317,0.253272557,0.012973352,0.000116877,0.024310425,0,0.015194016,0.001402525,1.258784311,Reconyx,0.11685872,45.73788375,0.741230205,112.8322222
28,42,2013,226656,4676400,0.000354442,0.060137051,0.005789225,0.001299622,0,0,0.532017958,0.043596408,0.136932892,0.003780718,0,0.215855388,0,0.000236295,0,1.496006648,Reconyx,0.219723088,71.51858853,0.563838312,159.5753086
29,44,2013,297181,4674817,0.000236295,0.041115312,0.003308129,0.00094518,0,0,0.463374291,0.036743856,0.209357278,0.00460775,0.004725898,0.192698488,0.042887524,0,0,1.284171462,Misc,0.438219755,58.08916194,0.432363488,105.2802469
30,45,2013,301518,4674064,0.019167835,0.063931744,0.020102852,0.007713885,0.000818139,0.000350631,0.389668069,0.096423562,0.183613838,0.007597008,0.003038803,0.101799906,0.093969144,0.002103787,0.009700795,1.300575018,Misc,0.160224415,73.7104566,0.431935949,89.95777778
31,46,2013,303568,4674198,0.008979206,0.051039698,0.015004726,0.003544423,0.000118147,0,0.476134216,0.094281664,0.21620983,0.004253308,0.000118147,0.082230624,0.044659735,0,0.003426276,1.375710011,Reconyx,0.4379857,46.62885948,0.447169879,88.69555556
32,47,2013,311978,4674238,0.012169187,0.052811909,0.004253308,0.001535917,0.000236295,0.002835539,0.348416824,0.026465028,0.139413989,0.000118147,0.004962193,0.336602079,0.060609641,0.007088847,0.002481096,1.600717153,Misc,0.507877334,66.95022054,0.474804933,63.81888889
33,48,2013,317606,4673745,0.000231241,0.034686091,0.004509192,0.001503064,0.000462481,0,0.387559255,0.023124061,0.205457278,0.002428026,0.001734305,0.300844028,0.032836166,0.003584229,0.001040583,1.744569977,Misc,0.152029327,60.89335954,0.510423869,67.5
34,50,2013,328185,4674947,0.000354442,0.037216446,0.002953686,0.000708885,0,0.00047259,0.448960302,0.058601134,0.336838374,0.005434783,0.002126654,0.106332703,0,0,0,1.794158578,Reconyx,0.996614157,44.58097038,0.594692099,83.44722222
35,51,2013,332499,4674423,0,0.059782609,0.003426276,0.000827032,0.000236295,0.001417769,0.419541588,0.047140832,0.409971645,0.000590737,0.000590737,0.055529301,0,0,0.00094518,1.911650022,Misc,0.09975601,49.07057341,0.638568793,84.01
36,52,2013,335942,4674069,0,0.046786389,0.006970699,0.002362949,0.001063327,0.000236295,0.48936673,0.029891304,0.232041588,0.004371456,0.002126654,0.136460302,0.007325142,0.035444234,0.00555293,2.124239922,Misc,0.558890586,49.50378072,0.702677298,71.08024691
37,54,2013,467419,4673321,0.000350631,0.033426835,0.006428237,0.000350631,0,0.005025713,0.588709677,0.03202431,0.186652641,0.0071295,0.003038803,0.113604488,0,0.019985975,0.003272557,1.323366682,Reconyx,0.933521921,53.33489169,0.767909178,106.24
38,55,2013,472751,4673928,0.010042533,0.035680529,0.00460775,0.001417769,0,0.001181474,0.493856333,0.068171078,0.30092155,0.005789225,0.001535917,0.064981096,0,0.00649811,0.005316635,1.312889993,Misc,0.435551805,44.65973535,0.765069505,108.5847222
39,56,2013,477183,4676203,0.001636279,0.038101917,0.008648901,0.001519402,0.000233754,0,0.459093034,0.047802712,0.187587658,0.018115942,0.004558205,0.226507714,0,0.005843852,0.000350631,1.334520022,Reconyx,0.991949361,58.71123578,0.76444327,96.97888889
40,57,2013,478730,4675441,0.001654064,0.042533081,0.015122873,0.00094518,0.000118147,0.000590737,0.521975425,0.031663516,0.231687146,0.015477316,0.006261815,0.106332703,0,0.024102079,0.001535917,1.301505736,Misc,0.212266168,61.67296786,0.759137222,90.33555556
41,58,2013,481877,4674153,0,0.056828922,0.023865784,0.004135161,0.00047259,0,0.540642722,0.004725898,0.081521739,0.007443289,0.000590737,0.273511342,0,0.005789225,0.00047259,1.203726649,Misc,0.961008375,80.41902962,0.734402895,93.13333333
42,63,2013,255587,4678131,0.000350631,0.050257129,0.002220664,0.001051893,0.000116877,0,0.407199626,0.153576438,0.328541374,0.001051893,0.004324451,0.051309023,0,0,0,1.44028002,Reconyx,0.792630686,46.78977715,0.495687893,130.0395062
43,64,2013,258770,4677105,0.001063327,0.050212665,0.002126654,0.00047259,0.000118147,0.000236295,0.516895085,0.095108696,0.17084121,0.003071834,0.000236295,0.131143667,0.028473535,0,0,1.434509993,Reconyx,0.371149959,56.75015753,0.480203718,141.5388889
44,65,2013,301106,4679688,0.011687705,0.028401122,0.001285647,0.000233754,0,0.000350631,0.288686302,0.147381954,0.341865358,0.004090697,0.002805049,0.109280037,0.03997195,0.016129032,0.007830762,1.501868572,Reconyx,0.92307256,42.97179367,0.446722008,92.23555556
45,67,2013,324359,4680466,0.001417769,0.03379017,0.006261815,0.000354442,0,0,0.6411862,0.024220227,0.246928166,0.001181474,0.003780718,0.018785444,0.005316635,0.015122873,0.001654064,1.720908574,Misc,0.697324316,35.71991178,0.529096872,86.51746032
46,68,2013,328277,4679741,0.000701262,0.038686302,0.002688172,0.000584385,0,0,0.469027583,0.015544647,0.346540439,0.005610098,0.000818139,0.084034596,0.031439925,0.004207574,0.000116877,1.765875002,Misc,0.589226969,44.60807231,0.59784466,77.79444444
47,69,2013,331609,4679632,0,0.071361059,0.005316635,0.001063327,0,0,0.43289225,0.014768431,0.220699433,0.003071834,0.000236295,0.245155955,0.001299622,0.003662571,0.00047259,1.851475,Misc,0.330739941,68.36798992,0.654689712,83.15777778
48,70,2013,335550,4678226,0.000118147,0.060373346,0.002126654,0.000236295,0.000118147,0.000118147,0.4375,0.038279773,0.235704159,0.001772212,0,0.215146503,0.008506616,0,0,1.979815006,Misc,0.704649178,60.13705104,0.705762208,79.65666667
49,72,2013,342962,4678610,0.000827032,0.043123819,0.008506616,0.001654064,0,0,0.672613422,0.007679584,0.130671078,0.002953686,0.001535917,0.125590737,0.000118147,0.003898866,0.000827032,2.019058568,Misc,0.512717653,55.96250788,0.840501773,83.48777778
50,73,2013,346558,4678262,0.001772212,0.05044896,0.010751418,0.001063327,0.000354442,0.001181474,0.655127599,0.003426276,0.113067108,0.000590737,0.002244802,0.125118147,0.022802457,0.005789225,0.006261815,2.022059917,Misc,0.096641873,56.90768746,0.871418625,75.22777778
51,75,2013,378559,4679104,0.002599244,0.047849716,0.002008507,0.000708885,0,0.000118147,0.207939509,0.088137996,0.435373346,0.033081285,0.001063327,0.158199433,0.008152174,0.01205104,0.002717391,1.375405014,Misc,0.030921531,68.68304978,0.933089742,93.27
52,76,2013,382145,4678870,0.002337541,0.050140252,0.004791959,0.001402525,0,0.002805049,0.328073866,0.042426367,0.397966339,0.003272557,0.003038803,0.157550257,0,0.005493221,0.000701262,1.364942874,Misc,0.204975144,57.81517843,0.945285395,104.8855556
53,77,2013,398513,4678815,0,0.037634409,0.011103319,0.002220664,0.000116877,0.000233754,0.248246844,0.044997662,0.194249649,0.00198691,0.001051893,0.399251987,0.035179991,0.017064049,0.006661992,1.333936691,Misc,0.581692951,48.93252299,0.96517239,90.44333333
54,78,2013,440180,4678907,0.010042533,0.047967864,0.002481096,0.00047259,0,0.00047259,0.292414934,0.064744802,0.310373346,0.008624764,0.004017013,0.23286862,0.013705104,0.010515123,0.001299622,1.516589999,Misc,0.923233772,69.03749212,0.767237201,75.47222222
55,79,2013,444261,4679592,0.003898866,0.036980151,0.003308129,0.00094518,0.000236295,0.00047259,0.279891304,0.101961248,0.469872401,0.00047259,0.000118147,0.091564272,0,0.008034026,0.002244802,1.489457147,Misc,0.487686976,47.25897921,0.778439591,95.65972222
56,80,2013,448243,4678206,0,0.043596408,0.008152174,0.000354442,0,0.000590737,0.32313327,0.034026465,0.252481096,0.00047259,0.000590737,0.335538752,0,0.001063327,0,1.442506631,Misc,0.948262912,59.38878387,0.777212075,82.35222222
57,81,2013,452022,4679914,0.000827032,0.047140832,0.005789225,0.00094518,0.000118147,0.00094518,0.202386578,0.079040643,0.468927221,0.003308129,0.00047259,0.150401701,0,0.033553875,0.006143667,1.423614264,Misc,0.685915882,62.38185255,0.779795915,92.93555556
58,82,2013,469029,4679893,0,0.040322581,0.004908836,0.000233754,0,0.005610098,0.355656849,0.08029453,0.409654044,0.0071295,0.005843852,0.087774661,0,0.002571295,0,1.417007123,Misc,0.898340665,51.15318685,0.769884005,101.0922222
59,83,2013,470386,4680092,0,0.033553875,0.008861059,0.000590737,0.000590737,0,0.24952741,0.119565217,0.452268431,0.006734405,0.006852552,0.11294896,0,0.007561437,0.00094518,1.421759963,Misc,0.078809796,48.36168872,0.766054102,107.7388889
60,85,2013,488147,4678442,0.000590737,0.037570888,0.010869565,0.000708885,0,0,0.722826087,0.014650284,0.043478261,0.005789225,0.002008507,0.143903592,0,0.014413989,0.003189981,1.274337138,Reconyx,0.184883362,63.09073724,0.730500136,107.9208333
61,90,2013,226233,4682752,0.041233459,0.064035917,0.009215501,0.003662571,0.000236295,0.002008507,0.425567108,0.050094518,0.146266541,0.001417769,0.000236295,0.212074669,0.041824197,0.000827032,0.001299622,1.338294983,Reconyx,0.443223107,63.83900441,0.54560802,160.3098765
62,92,2013,234630,4683355,0,0.04076087,0.005198488,0.001654064,0.000118147,0,0.501535917,0.007797732,0.085775047,0.000827032,0.000354442,0.315453686,0.012641777,0.021148393,0.006734405,1.386716684,Reconyx,0.990099176,61.08223062,0.550684988,124.4144444
63,93,2013,289919,4682303,0.007325142,0.032726843,0.001654064,0.000827032,0,0.000354442,0.344517958,0.122755198,0.319470699,0.002599244,0.002008507,0.105978261,0.036625709,0.010042533,0.013114367,1.476647173,Misc,0.001596995,51.11846251,0.423346763,93.5037037
64,94,2013,292872,4683529,0,0.025128565,0.003389434,0.000701262,0,0,0.583567087,0.024193548,0.180107527,0.010986442,0.003272557,0.135109864,0.02769986,0.004908836,0.000935016,1.517379999,Misc,0.92423324,46.20539193,0.441692557,105.4135802
65,95,2013,297709,4682894,0,0.028946125,0.004135161,0.005789225,0.00047259,0,0.282844991,0.047022684,0.258152174,0.002244802,0,0.216327977,0.146502836,0.004725898,0.002835539,1.532832003,Misc,0.504609624,44.89603025,0.44130229,92.58888889
66,96,2013,300952,4681839,0.006852552,0.053993384,0.004017013,0.001890359,0.000118147,0.000118147,0.339083176,0.040406427,0.276583176,0.003780718,0.004962193,0.233577505,0.025283554,0.00555293,0.003780718,1.526534302,Misc,0.888493682,63.72085696,0.447889,92.89333333
67,97,2013,325485,4683039,0,0.021505376,0.001636279,0.000935016,0,0.000350631,0.624941561,0.018700327,0.232702197,0.003272557,0.001402525,0.029336138,0.055750351,0.009467041,0,1.699022472,Reconyx,0.165212175,24.2325074,0.534508611,86.62555556
68,98,2013,328478,4682046,0.004725898,0.043832703,0.00460775,0.000354442,0.000118147,0,0.428638941,0.034380907,0.330458412,0.003544423,0.002599244,0.087310964,0.032726843,0.019848771,0.006852552,1.707350016,Reconyx,0.631606143,48.47983617,0.591166828,67.53333333
69,99,2013,332442,4682592,0.010160681,0.050212665,0.002599244,0.000118147,0,0,0.452032136,0.045723062,0.354796786,0.005671078,0.008270321,0.065335539,0.002244802,0.002362949,0.00047259,1.783400025,Reconyx,0.619223285,53.24511657,0.686101062,90.48024691
70,100,2013,335395,4682980,0.012856475,0.049672744,0.004791959,0.000701262,0,0.000818139,0.30972417,0.044997662,0.341631604,0.000350631,0.000116877,0.1985741,0.014025245,0.016012155,0.005726975,1.823197985,Reconyx,0.674547713,51.07526882,0.764319914,86.52063492
71,102,2013,343169,4683209,0.006734405,0.033908318,0.013586957,0.001417769,0,0.002481096,0.468336484,0.01713138,0.137878072,0.006143667,0.001654064,0.202268431,0.076086957,0.015477316,0.016895085,1.800448571,Misc,0.596140418,57.89224953,0.878189325,73.35925926
72,103,2013,379882,4682649,0.000590737,0.02776465,0.001417769,0.000354442,0,0,0.320888469,0.111649338,0.504253308,0.003071834,0,0.009215501,0,0.020793951,0,1.51008141,Reconyx,0.837124336,32.84499055,0.96981585,115.7733333
73,104,2013,381552,4682064,0.001299622,0.029655009,0.002008507,0.000118147,0,0,0.251654064,0.100779773,0.524220227,0.000708885,0.000118147,0.076323251,0,0.013114367,0,1.451184988,Misc,0.733517811,40.52457467,0.963258718,115.7319444
74,105,2013,394475,4682060,0.003038803,0.043361384,0.001870033,0.000116877,0,0,0.535881253,0.043945769,0.165264142,0.000935016,0.000116877,0.204651706,0,0.000701262,0.000116877,1.325129986,Misc,0.888319213,47.84167056,0.95691864,126.9095238
75,106,2013,398237,4681642,0,0.040642722,0.012169187,0.000590737,0.000118147,0,0.321951796,0.067816635,0.325732514,0.007561437,0.007915879,0.162334594,0.035444234,0.01713138,0.000590737,1.277365702,Misc,0.428678336,39.61877757,0.965611339,111.5122222
76,107,2013,410480,4681913,0.013114367,0.05694707,0.004962193,0.002008507,0.000354442,0.001299622,0.349598299,0.052575614,0.281427221,0.009097353,0.000354442,0.202741021,0,0.021030246,0.004489603,1.335690022,Misc,0.66906316,70.73093888,0.9013955,105.1933333
77,108,2013,435724,4683092,0.018312854,0.066398866,0.025874291,0.005671078,0.00094518,0.003426276,0.243265595,0.038752363,0.295486767,0.010396975,0.005789225,0.153946125,0.086011342,0.037334594,0.008388469,1.48980251,Misc,0.00570406,80.73408948,0.778385768,57.22777778
78,109,2013,440414,4682538,0.00047259,0.06344518,0.007206994,0.00094518,0,0,0.295604915,0.037334594,0.228733459,0.014413989,0.000827032,0.314862949,0.001890359,0.032844991,0.001417769,1.440768565,Misc,0.286272439,82.30938878,0.780594596,77.67901235
79,110,2013,443537,4681786,0.000590737,0.044659735,0.002835539,0.000827032,0.000236295,0.000118147,0.306592628,0.059900756,0.3588138,0,0.000354442,0.193761815,0,0.027055766,0.004253308,1.472318312,Misc,0.790544203,52.65437933,0.78148815,95.50740741
80,111,2013,448436,4683002,0.000935016,0.043244507,0.005960729,0.001402525,0.000116877,0.000350631,0.309256662,0.041841982,0.296750818,0.001519402,0.004441328,0.255960729,0.018817204,0.018466573,0.000935016,1.450000048,Misc,0.351273934,57.11391616,0.780691062,89.42222222
81,112,2013,451237,4682348,0.003308129,0.046077505,0.006143667,0.00094518,0.000354442,0.001535917,0.219636106,0.081285444,0.376535917,0.001772212,0.000118147,0.232632325,0,0.029655009,0,1.465865714,Misc,0.918692906,61.71235035,0.785865656,90.42333333
82,113,2013,456230,4681845,0.000118147,0.046668242,0.005198488,0.00047259,0.000118147,0,0.343927221,0.084357278,0.339437618,0.002362949,0.000708885,0.153827977,0.012405482,0.007206994,0.003189981,1.453424283,Misc,0.597939313,57.06521739,0.773085088,80.59444444
83,117,2013,486394,4682040,0.00094518,0.031545369,0.007679584,0.001299622,0.000354442,0.000236295,0.725897921,0.015004726,0.05694707,0.003544423,0.001772212,0.135160681,0.00555293,0.013823251,0.000236295,1.315190017,Bushnell,0.36390666,59.90075614,0.734066282,113.8975309
84,118,2013,492058,4683265,0.000118147,0.036389414,0.002717391,0.000118147,0,0,0.784853497,0.005789225,0.043596408,0.01063327,0.001299622,0.110704159,0.000118147,0.003544423,0.000118147,1.37330997,Reconyx,0.821755406,48.00724638,0.690737555,118.9975309
85,119,2013,495440,4682431,0.009806238,0.054347826,0.009215501,0.000590737,0,0.000118147,0.598298677,0.002008507,0.034026465,0.004844045,0.003662571,0.260869565,0,0.018785444,0.003426276,1.314598594,Bushnell,0.474448683,73.09388784,0.647866865,134.5177778
86,126,2013,226432,4685319,0.001063327,0.040051985,0.002717391,0.000827032,0,0.00047259,0.596172023,0.041115312,0.089910208,0.007915879,0.001181474,0.182183365,0.026465028,0.008506616,0.001417769,1.331878324,Reconyx,0.177484641,73.48771267,0.53255403,181.5533333
87,127,2013,232197,4688201,0.003071834,0.05044896,0.003308129,0.00047259,0,0.000354442,0.407136106,0.151937618,0.322188091,0.017013233,0.002953686,0.012759924,0,0.01205104,0.016304348,1.349523306,Reconyx,0.182257999,56.86830498,0.543350143,239.217284
88,128,2013,269517,4687171,0.000231241,0.03052376,0.002081165,0.001156203,0.00011562,0.008787143,0.736385709,0.034801711,0.050179211,0.001387444,0,0.125448029,0.002081165,0.006474737,0.000346861,1.483572513,Reconyx,0.484468814,42.77951208,0.398723402,100.2866667
89,129,2013,285822,4686012,0.000827032,0.058955577,0.003308129,0.000590737,0,0.000708885,0.49397448,0.04076087,0.230151229,0.003898866,0.00094518,0.156427221,0.00508034,0.003662571,0.000708885,1.527343988,Misc,0.363866173,68.76181474,0.425858473,85.62333333
90,130,2013,289095,4685927,0.000590737,0.057183365,0.002599244,0.00047259,0,0,0.358223062,0.087074669,0.237830813,0.001063327,0,0.233695652,0.021266541,0,0,1.529160023,Misc,0.330478436,59.03434152,0.441540264,102.4922222
91,132,2013,301690,4686356,0.001772212,0.03981569,0.008270321,0.003898866,0.000236295,0.000827032,0.260751418,0.038516068,0.224834594,0.006734405,0.008742911,0.23936673,0.146620983,0.017840265,0.001772212,1.585185031,Misc,0.584081293,70.53402647,0.466104137,100.2788889
92,135,2013,325578,4685874,0,0.04489603,0.004017013,0.001299622,0.000354442,0.000827032,0.608577505,0.007679584,0.189035917,0.006143667,0.01110586,0.116729679,0.005316635,0.003780718,0.000236295,1.61149404,Misc,0.76956071,47.41650914,0.531209677,87.96333333
93,136,2013,329833,4686969,0,0.037452741,0.007443289,0.001299622,0,0,0.480033081,0.084002836,0.321006616,0.000118147,0.001417769,0.043241966,0.023865784,0.000118147,0,1.554823995,Misc,0.82260502,41.39098929,0.601693356,101.5819444
94,137,2013,332105,4684505,0.008861059,0.041469754,0.017367675,0.008506616,0.000590737,0.001535917,0.337074669,0.063090737,0.358459357,0.004253308,0.001535917,0.124172968,0.026465028,0.004253308,0.002362949,1.690388594,Reconyx,0.207157054,54.42659105,0.674025108,79.65333333
95,138,2013,335538,4686876,0.000118147,0.033199433,0.002953686,0.000590737,0,0,0.57407845,0.045959357,0.327504726,0,0.003308129,0.003780718,0,0.007561437,0.00094518,1.554643989,Reconyx,0.235492508,29.89130435,0.773134549,84.24444444
96,139,2013,361836,4684774,0,0.010515123,0.012169187,0.003426276,0,0,0.326441399,0.0463138,0.381970699,0.00094518,0,0.109050095,0.058010397,0.039106805,0.01205104,1.527968367,Misc,0.539641482,18.74606175,0.962290868,94.56
97,140,2013,366786,4687171,0.003308129,0.052811909,0.008388469,0.00094518,0,0,0.23842155,0.069352552,0.435373346,0.002717391,0.002244802,0.16576087,0.014413989,0.002717391,0.003544423,1.638652015,Misc,0.70345158,58.75866415,0.952286192,96.59444444
98,142,2013,378550,4686975,0.00094518,0.036507561,0.006143667,0.001772212,0.000118147,0.000118147,0.387287335,0.020439509,0.278473535,0.000118147,0,0.131261815,0.004017013,0.113775992,0.019021739,1.800440013,Misc,0.033898295,48.04662886,1.007610313,105.9088889
99,143,2013,382020,4686010,0.000350631,0.04827022,0.012155213,0.001285647,0,0,0.331346424,0.09770921,0.388616176,0.002454418,0.001753156,0.079593268,0,0.032374942,0.004090697,1.705089966,Misc,0.252612686,52.8284245,0.993700042,121.5333333
100,144,2013,386231,4686087,0.000708885,0.030600189,0.006143667,0.000708885,0,0.002244802,0.388705104,0.036625709,0.263823251,0.002362949,0.004253308,0.100897921,0.079513233,0.07360586,0.009806238,1.559120019,Misc,0.154012413,40.60333963,0.964049588,109.44
101,145,2013,395659,4688343,0.004489603,0.032963138,0.003071834,0.001417769,0,0,0.613539698,0.048794896,0.138705104,0.011460302,0.013823251,0.104087902,0.024456522,0.002717391,0.00047259,1.319693347,Misc,0.931618082,52.77252678,0.940159832,147.91
102,146,2013,398954,4685866,0.002599244,0.039697543,0.006261815,0.00094518,0.000118147,0,0.513823251,0.021975425,0.122400756,0.004489603,0.005671078,0.266776938,0.008742911,0.005789225,0.000708885,1.259744304,Misc,0.968690097,63.05135476,0.950963229,126.8566667
103,147,2013,406263,4687371,0.000590737,0.040051985,0.002481096,0.000590737,0.000236295,0.000827032,0.331521739,0.059073724,0.363067108,0.010987713,0.003426276,0.141068053,0.021384688,0.019139887,0.00555293,1.308426638,Misc,0.05510594,55.76559546,0.942479704,125.7666667
104,148,2013,409535,4687692,0.024102079,0.034380907,0.004725898,0.00094518,0,0.000118147,0.273747637,0.037216446,0.25047259,0.031663516,0.00047259,0.287098299,0.049385633,0.005198488,0.00047259,1.318523328,Misc,0.538552724,56.94706994,0.924852482,115.4311111
