Station,Year,x,y,Open.Water,Developed.Open,Developed.Low,Developed.Mid,Developed.High,Barren,Deciduous,Coniferous,Mixed,Scrub,Grassland,Pasture,Cultivated.Crops,Woody.Wetlands,Herbaceus.Wetlands,road_density,camera,random,forest_edgedensity,snow_depth,deer
111,2013,448436,4683002,0.005992866,0.040856124,0.01098692,0.003424495,0.000760999,0.001617122,0.294554102,0.04979786,0.279286564,0.000951249,0.00351962,0.268014269,0.007657551,0.030535077,0.002045184,1.448888715,Misc,0.351273934,57.69322235,90.2962963,NA
112,2013,451237,4682348,0.012187057,0.039253661,0.005999055,0.000897496,0.000377893,0.00113368,0.242040624,0.063769485,0.371374587,0.0014171,0.002503543,0.226877657,0,0.028908833,0.003259329,1.457012002,Misc,0.918692906,60.96677689,90.44126984,NA
113,2013,456230,4681845,0.000797523,0.049305686,0.005395008,0.000562957,0.000187652,0,0.318352411,0.07149559,0.316991931,0.003987615,0.001454307,0.209044849,0.011071496,0.009148058,0.002204916,1.454454009,Misc,0.597939313,63.06686683,84.11018519,NA
117,2013,486394,4682040,0.004456746,0.039594671,0.010320886,0.001313567,0.000187652,0.000281479,0.703884406,0.009664102,0.060142616,0.005254269,0.00211109,0.144820792,0.002204916,0.014261588,0.00150122,1.31703215,Bushnell,0.36390666,67.35159817,110.6580808,NA
118,2013,492058,4683265,0.000330657,0.033585262,0.005904582,0.00113368,0.000330657,0,0.714454417,0.003920642,0.033443552,0.008171941,0.004629192,0.184789797,0.0014171,0.006613132,0.00127539,1.364360601,Reconyx,0.821755406,57.7231932,114.6004444,NA
119,2013,495440,4682431,0.006706302,0.043709869,0.007086801,0.001236623,0.000475624,9.51E-05,0.589346017,0.002378121,0.028156956,0.009179548,0.003043995,0.285231867,0,0.017978597,0.005374554,1.30503734,Bushnell,0.474448683,70.13872374,132.7577778,NA
126,2013,226432,4685319,0.008313651,0.047472839,0.005668399,0.001794993,4.72E-05,0.00056684,0.552007558,0.04208786,0.109211148,0.006471422,0.001228153,0.190647142,0.022484648,0.009589041,0.002409069,1.33720071,Reconyx,0.177484641,69.53235711,176.5643519,NA
127,2013,232197,4688201,0.001407394,0.048883468,0.002908613,0.000703697,4.69E-05,0.000140739,0.510273973,0.094811409,0.236864327,0.008960405,0.001407394,0.079939951,0,0.006802402,0.006849315,1.352847974,Reconyx,0.182257999,53.49659098,213.8348485,NA
128,2013,269517,4687171,0.00019025,0.038953627,0.012128419,0.001807372,0.00019025,0.004565993,0.697265161,0.030107015,0.067205707,0.003567182,0.001331748,0.125136742,0.009131986,0.007181926,0.001236623,1.482184013,Reconyx,0.484468814,51.38327388,110.7666667,NA
129,2013,285822,4686012,0.000803023,0.059943316,0.008313651,0.003637222,0,0.000519603,0.432923949,0.048370335,0.177657062,0.002834199,0.000897496,0.18757676,0.057439773,0.01242324,0.006660368,1.530037837,Misc,0.363866173,64.38356164,87.27729469,NA
130,2013,289095,4685927,0.000375305,0.049258773,0.0028617,0.00075061,0,0.000656784,0.414008257,0.067461062,0.214205292,0.003096266,0.001125915,0.225980484,0.020219553,0,0,1.538171262,Misc,0.330478436,56.01426159,103.6962963,NA
132,2013,301690,4686356,0.001782698,0.040908238,0.008209795,0.002955526,0.000187652,0.002017264,0.28973541,0.047757553,0.230155752,0.006004879,0.008397448,0.208669544,0.138909739,0.013135673,0.001172828,1.581165739,Misc,0.584081293,71.51122787,98.00888889,NA
135,2013,325578,4685874,0,0.037014449,0.002908613,0.001313567,0.000328392,0.000328392,0.558359917,0.02889848,0.240101332,0.004222181,0.00647401,0.107900169,0.009101145,0.0028617,0.000187652,1.616827164,Misc,0.76956071,41.28354288,85.48101852,NA
136,2013,329833,4686969,0,0.037952712,0.008819666,0.001876525,0.000140739,0.000234566,0.410677425,0.065912929,0.327547382,0.001876525,0.004316007,0.095843498,0.032839182,0.010696191,0.001266654,1.556196426,Misc,0.82260502,41.67448552,93.9010101,NA
137,2013,332105,4684505,0.004832051,0.038750235,0.010555451,0.003940702,0.000234566,0.000797523,0.373193845,0.052917996,0.345327454,0.002955526,0.004785138,0.098799024,0.047241509,0.01369863,0.001970351,1.689797354,Reconyx,0.207157054,48.8365547,81.78133333,NA
138,2013,335538,4686876,0.000140739,0.026458998,0.001923438,0.000938262,9.38E-05,0,0.583130043,0.039266279,0.328579471,0.001266654,0.004175267,0.009523363,0,0.004128354,0.000375305,1.558717847,Reconyx,0.235492508,26.66228811,86.76435185,NA
139,2013,361836,4684774,0.000140739,0.023268906,0.008913492,0.002439482,4.69E-05,0.001079002,0.364608745,0.054043911,0.362169263,0.007318446,0.00211109,0.115828486,0.033965097,0.018202289,0.00586414,1.531267183,Misc,0.539641482,23.72239945,98.81511111,NA
140,2013,366786,4687171,0.0028617,0.056483393,0.013933196,0.002767874,0.000234566,0.000656784,0.272659035,0.047053856,0.344107713,0.003565397,0.001641959,0.188872209,0.044285982,0.014730719,0.006145618,1.622630724,Misc,0.70345158,59.48583224,97.06717172,NA
142,2013,378550,4686975,0.003565397,0.041283543,0.008115969,0.001313567,4.69E-05,0.000234566,0.356305123,0.036404579,0.296115594,0.001407394,0.002017264,0.151435541,0.008256709,0.080455995,0.013041847,1.791216016,Misc,0.033898295,52.93363358,106.6904762,NA
143,2013,382020,4686010,0.000142687,0.037479191,0.008608799,0.000951249,0,0,0.346872771,0.083091558,0.368799049,0.003804994,0.003472057,0.094411415,0.00351962,0.041902497,0.006944114,1.696776852,Misc,0.252612686,46.88069758,123.1328283,NA
144,2013,386231,4686087,0.000797523,0.031197223,0.008069056,0.001079002,9.38E-05,0.000891349,0.411521862,0.04635016,0.306905611,0.004925877,0.002298743,0.083552261,0.039453931,0.051698255,0.011165322,1.544675027,Misc,0.154012413,41.50247076,118.4951111,NA
145,2013,395659,4688343,0.001829612,0.043863764,0.006755489,0.001595046,0.000140739,0.000140739,0.493197598,0.031994746,0.12281854,0.007693751,0.008256709,0.23630137,0.02242447,0.021157816,0.001829612,1.316090729,Misc,0.931618082,60.33026834,146.6383838,NA
146,2013,398954,4685866,0.003448276,0.047520076,0.011714691,0.001606046,0.00014171,0.000519603,0.437411431,0.022012282,0.126263581,0.004629192,0.003259329,0.299055267,0.024374114,0.016769013,0.00127539,1.264770015,Misc,0.968690097,61.0612502,125.2402778,NA
147,2013,406263,4687371,0.00137931,0.03705113,0.004661118,0.000903686,0.000142687,0.000332937,0.350963139,0.056028537,0.28803805,0.006896552,0.00175981,0.201521998,0.032057075,0.015410226,0.002853746,1.307513992,Misc,0.05510594,54.74435196,126.350463,NA
